id,naslov,cena,velikost,prodajalec
5952316,LJ. MOSTE,200000.00,118.60,Kristal nepremiènine d.o.o.
5797965,TACEN,200000.00,122.28,"REMAX Vogal, Nepremièninska družba, d.o.o."
5929181,"LJ. BEŽIGRAD, ZUPANÈIÈEVA JAMA - VELIKA TERASA",200000.00,58.60,Eventum d.o.o.
6054338,"LJ. MOSTE, ZALOG",200000.00,108.30,Rocco nepremiènine d.o.o.
6060505,"VIŽMARJE, GUNCLJE",200000.00,164.00,Mreža nepremiènin d.o.o.
5938232,"LJ. ŠIŠKA, MALGAJEVA 2",200000.00,110.00,Zasebna ponudba
5966303,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",199365.19,99.06,LIN nepremiènine d.o.o.
6034990,"TRNOVO, TRNOVSKA VRATA",199000.00,50.90,"Nepremiènine M8, Lea Kavaliè s.p."
6047368,"LJ. VIÈ, VELIK ATRIJ",199000.00,89.00,Euromark-a d.o.o.
6061555,LJ. BEŽIGRAD,199000.00,90.00,"MA - nepremièninska družba, Marko Aliè s.p."
6054779,"LJ. BEŽIGRAD, TOP LOKACIJA",199000.00,80.00,Zasebna ponudba
6061596,"LJ. BEŽIGRAD, SAVSKO NASELJE",199000.00,89.68,Svet RE d.o.o.
6053927,LJ. CENTER,198500.00,63.60,Bajtiga poslovanje z nepremièninami d.o.o.
6059836,"LJ. BEŽIGRAD, DUNAJSKA C.",198100.00,58.00,ARS-T d.o.o.
6045193,"LJ. ŠIŠKA, SPODNJA",198000.00,87.00,LJUBLJANA NEPREMIÈNINE d.o.o.
6054459,"LJ. CENTER, KERSNIKOVA, NA NOTR. DVORIŠÈU",198000.00,85.00,Svet RE d.o.o.
6061115,"LJ. BEŽIGRAD, ZELENI DVOR_SAVSKA CESTA",198000.00,130.24,COOP nepremiènine d.o.o.
6016744,"LJ. ŠIŠKA, MANJŠI VILA BLOK, GARAŽA",198000.00,74.00,Mreža nepremiènin d.o.o.
5922390,LJ. BEŽIGRAD,198000.00,95.00,"Stoja trade, d.o.o., Ljubljana"
6054016,LJ. MOSTE,197000.00,110.90,LJUBLJANA NEPREMIÈNINE d.o.o.
6056979,"LJ. MOSTE, FUŽINE",197000.00,94.80,MESTO NEPREMIÈNIN d.o.o.
6056945,"LJ. ŠIŠKA, SPODNJA",197000.00,87.00,MESTO NEPREMIÈNIN d.o.o.
6041083,"SP. ŠIŠKA, BLIŽINA CENTRA IN TIVOLIJA",197000.00,97.60,Zasebna ponudba
6048644,"LJ. MOSTE, BLIŽINA ZDRAVSTVENEGA DOMA",197000.00,110.92,"Stoja trade, d.o.o., Ljubljana"
5711219,"LJ. VIÈ, DOLGI MOST",196000.00,77.00,LJUBLJANA NEPREMIÈNINE d.o.o.
6024242,LJ. ŠIŠKA,195000.00,102.30,MESTO NEPREMIÈNIN d.o.o.
6028907,RAKOVNIK,195000.00,98.00,"REMAX Vogal, Nepremièninska družba, d.o.o."
5981645,RUDNIK,195000.00,73.00,LJUBLJANA NEPREMIÈNINE d.o.o.
5926326,LJ. VIÈ,195000.00,140.00,LJUBLJANA NEPREMIÈNINE d.o.o.
6039102,"LJ. BEŽIGRAD, DUNAJSKA CESTA",195000.00,73.60,"Abstract nepremiènine, Igor Kerin s.p."
6060417,"ÈRNUÈE, ÈRNUŠKA GMAJNA",195000.00,105.90,LJUBLJANA NEPREMIÈNINE d.o.o.
6052322,LJ. BEŽIGRAD,195000.00,92.26,"Stoja trade, d.o.o., Ljubljana"
6030022,ŠENTVID,195000.00,112.80,Zasebna ponudba
6049791,"LJ. ŠIŠKA, CELOVŠKI DVORI",193000.00,92.90,"Ornis, nepremiènine, zastopanje in svetovanje d.o.o."
6054156,LJ. BEŽIGRAD,193000.00,60.90,Mreža nepremiènin d.o.o.
6042265,LJ. CENTER,190000.00,44.70,Rocco nepremiènine d.o.o.
5786395,"TACEN, DOBRA LOKACIJA",190000.00,116.50,"REMAX Vogal, Nepremièninska družba, d.o.o."
6054339,"LJ. MOSTE, ZALOG",190000.00,99.50,Rocco nepremiènine d.o.o.
6059643,LJ. VIÈ,190000.00,82.50,LJUBLJANA NEPREMIÈNINE d.o.o.
6009915,"LJ. ŠIŠKA, VODNIKOVA 4 - STARA CERKEV",190000.00,101.00,Zasebna ponudba
5947648,"LJ. BEŽIGRAD, ŽUPANÈIÈEVA JAMA",189900.00,62.00,1.AMS d.o.o.
6017389,LJ. VIÈ,189000.00,73.00,Arcimboldo d.o.o.
6027812,"POLJE, ZALOG",189000.00,116.00,LJUBLJANA NEPREMIÈNINE d.o.o.
6042666,"LJ. BEŽIGRAD, ATRIJ UL. METODA MIKUŽA RAPOVA J",189000.00,62.80,"Visa d.o.o., Ljubljana"
6059894,"LJ. BEŽIGRAD, BLIŽINA PLEÈNIKOVEGA STADIONA",189000.00,108.80,"STAN nepremiènine d.o.o., Ljubljana"
6003339,LJ. BEŽIGRAD,189000.00,108.80,"Stoja trade, d.o.o., Ljubljana"
5990230,"LJ. BEŽIGRAD, MOŽNOST PREDELAVE V 1 SOBNO",188582.93,55.32,"Nepremiènine M8, Lea Kavaliè s.p."
6059796,"LJ. BEŽIGRAD, GLAVARJEVA",187500.00,62.20,Feniks nepremiènine d.o.o.
6057312,LJ. ŠIŠKA,187409.24,62.36,"Stoja trade, d.o.o., Ljubljana"
6055710,RAKOVNIK,187000.00,47.63,Rocco nepremiènine d.o.o.
6059094,"LJ. ŠIŠKA, NASPROTI HALE TIVOLI",186000.00,87.20,ABC nepremiènine d.o.o.
6053894,"LJ. CENTER, TRUBARJEVA CESTA",185000.00,80.00,"REMAX Vogal, Nepremièninska družba, d.o.o."
6057348,"LJ. ŠIŠKA, UL. ANE ZIHERLOVE",185000.00,69.90,"Nepremièninska agencija ""TLORIS"" Miro Toriæ s.p., Poslovna enota"
6059082,"LJ. CENTER, VODMAT - GRABLOVIÈEVA ULICA",185000.00,89.00,Nepremiènine Plus d.o.o.
6061220,"LJ. ŠIŠKA, VILA V BLIŽINI ROŽNIKA",185000.00,103.77,"STAN nepremiènine d.o.o., Ljubljana"
6050974,BROD,185000.00,60.70,Zasebna ponudba
6053573,"LJ. BEŽIGRAD, SAVSKI KAMEN",185000.00,56.00,Zasebna ponudba
6060426,"LJ. BEŽIGRAD, KRŽIÈEVA ULICA",185000.00,83.00,Zasebna ponudba
5988490,"LJ. ŠIŠKA, DRAVLJE",185000.00,100.00,Zasebna ponudba
6052821,"DOLGI MOST, VIÈ",184900.00,135.00,Zasebna ponudba
6036880,LJ. CENTER,183000.00,73.60,"Stoja trade, d.o.o., Ljubljana"
6056353,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",181950.00,77.70,MESTO NEPREMIÈNIN d.o.o.
5970832,"RUDNIK, BARJANSKA ULICA, TRNOVSKA VRATA",181000.00,54.80,Vilmar nepremiènine d.o.o.
6048875,"LJ. MOSTE, ŠTEPANJSKO NASELJE",180000.00,83.00,MESTO NEPREMIÈNIN d.o.o.
6057775,NOVE JARŠE,180000.00,150.70,Maridom nepremiènine d.o.o.
6059883,BEŽIGRAJSKI DVOR,180000.00,84.10,"Livo d.o.o., PE nepremièninsko posredovanje"
6059878,LJ. MOSTE,180000.00,84.00,"Livo d.o.o., PE nepremièninsko posredovanje"
6060742,LJ. MOSTE,180000.00,84.00,Neptun nepremiènine - Borut Vodopivec s.p.
6061010,"LJ. BEŽIGRAD, KRŽIÈEVA",180000.00,84.10,Feniks nepremiènine d.o.o.
6046575,"BEŽIGRAJSKI DVOR, KRŽIÈEVA ULICA 6",180000.00,84.00,Zasebna ponudba
6060733,"LJ. BEŽIGRAD, MED BEŽIGRAJSKIM DVOROM IN PLAVO LAGUNO",180000.00,84.00,Mreža nepremiènin d.o.o.
6001604,VIŽMARJE,179000.00,372.00,"Rebernik nepremiènine, Samo Rebernik s.p."
6054542,"LJ. ŠIŠKA, BRILEJEVA UL., NAKUP BREZ PROVIZ",179000.00,98.80,"Gratek, Kohne in partner k.d."
6059254,"JARŠE, ZELO LEPO STANOVANJE",179000.00,79.20,MKA nepremiènine d.o.o.
6054170,"ROŽNA DOLINA, NA VIÈU V LJUBLJANI",179000.00,148.00,Zasebna ponudba
6025667,ZG. ŠIŠKA,179000.00,107.10,"Stoja trade, d.o.o., Ljubljana"
6015582,"LJ. VIÈ, LANOVO - ŠKOFLJICA",178950.00,122.90,Nepremiènine Plus d.o.o.
6056349,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",178950.00,78.50,MESTO NEPREMIÈNIN d.o.o.
6056344,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",178900.00,78.10,MESTO NEPREMIÈNIN d.o.o.
6056346,"RUDNIK, ŠKOFLJICA, KUPEC NE PLAÈA PROVIJE",178900.00,78.00,MESTO NEPREMIÈNIN d.o.o.
6047550,"LJ. ŠIŠKA, KOSEZE - TERASASTI BLOKI",178000.00,76.81,HDS d.o.o.
6058108,"LJ. ŠIŠKA, KOSEZE",178000.00,76.20,"STAN nepremiènine d.o.o., Ljubljana"
6058696,"LJ. ŠIŠKA, KOSEZE - TERASASTI BLOKI",178000.00,76.81,HDS d.o.o.
6058441,LJ. BEŽIGRAD,178000.00,84.10,Agencia d.o.o.
6058651,"LJ. ŠIŠKA, KOSEZE",178000.00,76.20,"STAN nepremiènine d.o.o., Ljubljana"
6055743,RAKOVNIK,176000.00,47.63,Rocco nepremiènine d.o.o.
6058636,LJ. ŠIŠKA,176000.00,70.90,"INBA, nepremièninska družba, d.o.o."
6044705,"LJ. BEŽIGRAD, PERIÈEVA 7",175000.00,78.00,DARMAL d.o.o.
6046744,"ZUPANÈIÈEVA JAMA, ŠTIHOVA ULICA",175000.00,68.50,Rojal invest d.o.o.
6050745,"LJ. MOSTE, FUŽINE - ATRIJSKO",175000.00,69.60,KU-MI nepremiènine d.o.o.
6021674,"FUŽINE, ATRIJSKO",175000.00,70.00,KU-MI nepremiènine d.o.o.
6054146,"BTC, ŠMARTINSKA CESTA 72, ATRIUM",175000.00,58.80,Apolonij d.o.o.
6055491,"LJ. ŠIŠKA, VIŽMARJE, Z VRTOM",175000.00,84.00,"Erjavec nepremiènine, Erjavec Dušan s.p."
6059816,LJ. ŠIŠKA,175000.00,69.00,Enepremiènine Ana Ocvirk s.p.
6059557,LJ. ŠIŠKA,175000.00,95.60,MKA nepremiènine d.o.o.
6040392,"ŠTEPANJSKO NASELJE, NUSDORFERJEVA",175000.00,76.00,Domart RE d.o.o.
6061060,"LJ. BEŽIGRAD, HERBERSTEINOVA ULICA",174000.00,87.50,Real Go d.o.o.
6050485,"LJ. VIÈ, VRHOVCI",173000.00,95.00,Hiša nepremiènine 1 d.o.o.
6060631,"RUDNIK, KNEZOV ŠTRADON, ATRIJSKO",173000.00,56.50,PREMIER NEPREMIÈNINE posredovanje d.o.o.
6035645,LJ. ŠIŠKA,173000.00,77.00,ABC nepremiènine d.o.o.
6015575,"LJ. VIÈ, LANOVO - ŠKOFLJICA",172500.00,65.30,Nepremiènine Plus d.o.o.
6059771,"LJ. BEŽIGRAD, VOJKOVA, BLIZU LINHARTOVE",172000.00,76.00,"Erjavec nepremiènine, Erjavec Dušan s.p."
6012713,ŠMARTNO POD ŠMARNO GORO,170000.00,96.40,"STAN nepremiènine d.o.o., Ljubljana"
6001232,"LJ. CENTER, FRIŠKOVEC",170000.00,106.00,Arcimboldo d.o.o.
6047211,"LJ. CENTER, TABOR",170000.00,106.00,LJUBLJANA NEPREMIÈNINE d.o.o.
6050227,LJ. BEŽIGRAD,170000.00,114.30,"Advice, d.o.o."
6045389,"KOSEZE, TERASASTI BLOKI, BRATOV UÈAKAR",170000.00,78.10,Damijan Meško s.p.
6059692,"LJ. BEŽIGRAD, BEŽIGRAJSKI DVOR - PERIÈEVA",170000.00,90.00,"JA Invest, d.o.o."
6032030,"TACEN, ODLIÈNA, BLIZU AC IN LPP, ATRIJ",170000.00,114.03,"REMAX Vogal, Nepremièninska družba, d.o.o."
6060808,DRAVLJE,170000.00,80.00,Eventum d.o.o.
5967372,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",169850.00,85.04,LIN nepremiènine d.o.o.
6032283,"LJ. BEŽIGRAD, STANIÈEVA ULICA",169000.00,166.00,"Abstract nepremiènine, Igor Kerin s.p."
5930594,LJ. BEŽIGRAD,169000.00,65.00,LJUBLJANA NEPREMIÈNINE d.o.o.
5936334,LJ. BEŽIGRAD,169000.00,97.80,ABC nepremiènine d.o.o.
6059953,LJ. MOSTE,168500.00,84.60,"STAN nepremiènine d.o.o., Ljubljana"
6059137,LJ. MOSTE,168500.00,84.60,"Panorama 360, Katja Gložanèev s.p."
5634772,"ŠTEPANJSKO NASELJE, NUSDORFERJEVA",167000.00,80.00,"Komfort skupina d.o.o., nepremiènine"
6048689,"ÈRNUÈE, NASELJE SAVSKI BREG",167000.00,66.00,"NIONA, Nina Rangus s.p."
6051211,DOBRUNJE,167000.00,85.00,Moneta Invest d.o.o.
6054023,"LJ. MOSTE, VODMAT",167000.00,67.80,LJUBLJANA NEPREMIÈNINE d.o.o.
6060440,ÈRNUÈE,167000.00,66.00,LJUBLJANA NEPREMIÈNINE d.o.o.
6049890,ÈRNUÈE,167000.00,66.00,Viping d.o.o.
6050636,ŠTEPANJSKO NASELJE,167000.00,86.00,Zasebna ponudba
6048360,"LJ. BEŽIGRAD, LINHARTOVA CESTA",166800.00,81.70,Gradex nepremiènine d.o.o.
5967375,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",166180.00,81.51,LIN nepremiènine d.o.o.
5967374,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",165710.00,81.07,LIN nepremiènine d.o.o.
5991535,RAKOVNIK,165000.00,129.00,"Dom domis, Živa Logar, s.p."
5996627,"LJ. VIÈ, RAKOVNIK",165000.00,125.00,MESTO NEPREMIÈNIN d.o.o.
5952176,"LJ. VIÈ, TRŽAŠKA",165000.00,67.00,"Moja vila, Tina Dolinar s.p."
6023327,"LJ. MOSTE, KAJUHOVA",165000.00,70.70,Pun nepremiènine d.o.o.
6038053,LJ. ŠIŠKA,165000.00,86.00,"Salomon nepremiènine, Anže Nahtigal, s.p."
6044323,"ZG. ŠIŠKA, LJ., ŠIŠENSKA ULICA",165000.00,92.00,"Vlado Babiæ s.p., poslovna enota ATLAS NEPREMIÈNINE"
6045706,"FUŽINE, OSENJAKOVA",165000.00,87.00,Nepremiènine Plus d.o.o.
6041439,KOSEZE,165000.00,92.00,Senon d.o.o.
6039454,"LJ. BEŽIGRAD, BRATOVŠEVA PLOŠÈAD",165000.00,71.20,LJUBLJANA NEPREMIÈNINE d.o.o.
6055819,"LJ. MOSTE, BLIŽINA KC IN KODELJEVEGA",165000.00,63.80,Rocco nepremiènine d.o.o.
6055464,"LJ. BEŽIGRAD, BRATOVŠEVA PLOŠÈAD",165000.00,74.80,MESTO NEPREMIÈNIN d.o.o.
6053078,DRAVLJE,165000.00,76.60,"Nepremièninska agencija ""TLORIS"" Miro Toriæ s.p., Poslovna enota"
6057713,"LJ. CENTER, BLIZU VILE URBANA",165000.00,40.00,MESTO NEPREMIÈNIN d.o.o.
6059075,LJ. BEŽIGRAD,165000.00,69.00,Za nepremiènine d.o.o.
6060413,LJ. MOSTE,165000.00,63.80,"REMAX Vogal, Nepremièninska družba, d.o.o."
6060999,"LJ. BEŽIGRAD, ŠARHOVA ULICA",165000.00,77.20,"Dodoma d.o.o., PE Ljubljana"
6061089,"LJ. BEŽIGRAD, PERIÈEVA ULICA",165000.00,78.00,Mernet d.o.o.
6061279,"SP. ŠIŠKA, ZOFKE KVEDROVE",165000.00,75.00,ARHCOM nepremiènine d.o.o.
6036838,TABOR,165000.00,106.70,Zasebna ponudba
6054209,LJ. CENTER,165000.00,42.40,Atrium nepremiènine d.o.o.
6040711,LJ. BEŽIGRAD,165000.00,77.20,ABC nepremiènine d.o.o.
5967377,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",164910.00,76.84,LIN nepremiènine d.o.o.
6059820,"LJ. BEŽIGRAD, BRATOVŠEVA PLOŠÈAD - RAZGLED",164900.00,74.10,"JA Invest, d.o.o."
5967369,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",163642.63,82.84,LIN nepremiènine d.o.o.
5967381,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",163240.00,74.42,LIN nepremiènine d.o.o.
6054214,LJ. ŠIŠKA,162600.00,84.10,"Stoja trade, d.o.o., Ljubljana"
6058751,"LJ. CENTER, BREG",162500.00,54.00,FIRMA nepremiènine Martinoviæ & Co. k.d.
6053694,LJ. ŠIŠKA,162200.00,91.70,"Stoja trade, d.o.o., Ljubljana"
5990842,"LJ. CENTER, STARA",162000.00,54.00,Zasebna ponudba
5967371,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",161922.81,79.69,LIN nepremiènine d.o.o.
5967367,"ÈRNUÈE, SPODNJE OKROGARJEVA 2",161070.00,81.07,LIN nepremiènine d.o.o.
6052812,"LJ. CENTER, ZRAVEN VILE URBANA SAMOSTOJNI",161000.00,50.00,Zasebna ponudba
6053692,LJ. ŠIŠKA,161000.00,76.50,"Stoja trade, d.o.o., Ljubljana"
6044178,"DOBRUNJE, PODMOLNIK - ZAVRŠJE",160000.00,110.00,"24-ur.eu, Dean Daraboš s.p."
5982626,FUŽINE,160000.00,87.00,Gradex nepremiènine d.o.o.
6031488,"LJ. VIÈ, TRNOVO",160000.00,76.00,"Abstract nepremiènine, Igor Kerin s.p."
5954285,ŠENTVID,160000.00,69.32,LJUBLJANA NEPREMIÈNINE d.o.o.
6051054,"LJ. BEŽIGRAD, REBOLJEVA ULICA",160000.00,78.50,Mernet d.o.o.
6054331,"LJ. MOSTE, ZALOG",160000.00,82.20,Rocco nepremiènine d.o.o.
6060613,"LJ. MOSTE, ŠTEPANJSKO NASELJE",160000.00,64.80,MESTO NEPREMIÈNIN d.o.o.
6050483,LJ. CENTER,160000.00,70.90,"Stoja trade, d.o.o., Ljubljana"
6058421,"ŠTEPANJA VAS, BILEÈANSKA ULICA 5",160000.00,65.00,Zasebna ponudba
5935461,LJ. BEŽIGRAD,160000.00,78.80,Domart RE d.o.o.
6050862,"BROD, SOSESKA OSMICA",159533.00,48.81,Medvešek Pušnik Nepremiènine d.o.o.
6049562,"LJ. MOSTE, FUŽINE, RUSJANOV TRG",159000.00,74.20,Studio modul d.o.o.
6051798,"LJ. BEŽIGRAD, MAROLTOVA UL.",159000.00,77.70,"MA - nepremièninska družba, Marko Aliè s.p."
6031712,DRAVLJE,159000.00,79.80,Optima nepremiènine d.o.o.
6056330,"LJ. CENTER, GRADIŠÈE",159000.00,70.00,ALEA nepremièninska družba d.o.o.
6058042,"LJ. ŠIŠKA, DRAVLJE",159000.00,76.60,MESTO NEPREMIÈNIN d.o.o.
6060947,BROD,159000.00,57.80,Zasebna ponudba
6004359,"LJ. MOSTE, LE STRELJAJ OD CENTRA",159000.00,69.00,Zasebna ponudba
6053693,LJ. ŠIŠKA,158500.00,74.30,"Stoja trade, d.o.o., Ljubljana"
6030279,ÈRNUÈE,158000.00,85.10,LJUBLJANA NEPREMIÈNINE d.o.o.
6044606,LJ. ŠIŠKA,158000.00,79.10,Rocco nepremiènine d.o.o.
6051130,"LJ. BEŽIGRAD, ÈRNUÈE, POLANŠKOVA",158000.00,85.12,Mernet d.o.o.
6040723,ÈRNUÈE,158000.00,85.12,PAK INVEST d.o.o.
6058217,"ZG. ŠIŠKA, CELOVŠKA CESTA, BLIŽINA LPP",157000.00,63.00,Rojal invest d.o.o.
6042145,ÈRNUÈE,157000.00,85.10,"STAN nepremiènine d.o.o., Ljubljana"
6053697,LJ. ŠIŠKA,156700.00,91.70,"Stoja trade, d.o.o., Ljubljana"
6054324,LJ. MOSTE,156000.00,62.70,SKYNEP nepremiènine d.o.o.
6054327,LJ. MOSTE,156000.00,65.50,SKYNEP nepremiènine d.o.o.
6059601,"LJ. ŠIŠKA, NASPROTI KINO",156000.00,82.50,"Lobodas, posredništvo in storitve d.o.o., PE Kostanjevica na Krki"
6059857,"LJ. ŠIŠKA, OBIRSKA ULICA",156000.00,82.00,"Lobodas, posredništvo in storitve d.o.o., PE Kostanjevica na Krki"
6061164,"LJ. CENTER, KOLODVORSKA ULICA",156000.00,56.20,COOP nepremiènine d.o.o.
6060003,"LJ. CENTER, - NOVE POLJANE",156000.00,42.20,Zasebna ponudba
6019975,LJ. CENTER,155000.00,65.70,Agencia d.o.o.
6017955,"LJ. BEŽIGRAD, DUNAJSKA",155000.00,96.50,METROPOLA IN d.o.o.
6043150,"LJ. MOSTE, KODELJEVO",155000.00,69.60,MESTO NEPREMIÈNIN d.o.o.
6022395,"LJ. CENTER, GORNJI TRG",155000.00,65.70,Rocco nepremiènine d.o.o.
6003202,LJ. CENTER,155000.00,65.70,Novi list d.o.o.
6013598,"LJ. ŠIŠKA, GOSPODINJSKA ULICA",155000.00,102.30,"Salomon nepremiènine, Anže Nahtigal, s.p."
6042426,"LJ. MOSTE, KODELJEVO",155000.00,67.50,LJUBLJANA NEPREMIÈNINE d.o.o.
